CustomerID,Recency,Frequency,Monetary,prob_ativo,compras_esperadas,valor_medio,clv,R_score,F_score,M_score,persona
12346,326,1,77183.6,0.02672322551487303,0.026357153932477506,77183.6,1932.6230249496325,1,1,4,Hibernating
12347,2,7,4310.0,0.9780228724846005,6.752377092222447,615.7142857142857,3949.6582863006865,4,4,4,Champions
12348,75,4,1797.24,0.4345982085070782,1.7145792335621715,449.31,731.8587156602283,2,3,4,At Risk
12349,19,1,1757.55,0.8096840969833764,0.7985925340110014,1757.55,1333.3879927434837,3,1,4,Big Spenders
12350,310,1,334.4,0.0319224918348957,0.03148519742619849,334.4,10.002217518354735,1,1,2,Hibernating
12352,36,8,2506.04,0.6703200460356393,5.289100637212716,313.255,1573.9953591045658,3,4,4,Champions
12353,204,1,89.0,0.10365712861152786,0.1022371679456165,89.0,8.644152549801875,1,1,1,Lost
12354,232,1,1079.4,0.0759425779334249,0.07490226864666566,1079.4,76.80703333835037,1,1,3,Hibernating
12355,214,1,459.4,0.09275647414967884,0.09148583751749145,459.4,39.927164067758795,1,1,2,Hibernating
12356,23,3,2811.43,0.7744861083592839,2.2916301288439085,937.1433333333333,2040.2066028262825,3,3,4,Champions
12357,33,1,6207.67,0.6930406200864415,0.6835469129619697,6207.67,4031.071981927299,3,1,4,Big Spenders
12358,2,2,1168.06,0.9780228724846005,1.929250597777842,584.03,1070.4032152891832,4,2,3,Big Spenders
12359,58,4,6372.58,0.5249541022780896,2.071051800768353,1593.145,3134.5115300783427,2,3,4,At Risk
12360,52,3,2662.06,0.5611439686474896,1.660371194902161,887.3533333333334,1399.6691186487278,2,3,4,At Risk
12361,287,1,189.9,0.04121764288648398,0.04065301764146365,189.9,7.33400764760825,1,1,1,Lost
12362,3,10,5226.23,0.9672161004820059,9.539665648589647,522.6229999999999,4736.366246249723,4,4,4,Champions
12363,110,2,552.0,0.29457482831010734,0.5810791133788419,276.0,152.35894352793233,2,2,2,Hibernating
12364,8,4,1313.1,0.914947228730031,3.6096548201951904,328.275,1125.7114642945974,4,3,3,Champions
12365,291,2,641.38,0.03942585997900747,0.07777155941064487,320.69,23.69353331802972,1,2,2,Hibernating
12367,4,1,168.9,0.9565287391030293,0.9434256056906589,168.9,151.37735556109467,4,1,1,Promising
12370,51,4,3545.69,0.5674136687970038,2.238563515253933,886.4225,1885.0974142201703,2,3,4,At Risk
12371,45,2,1887.96,0.6065306597126334,1.1964440410769754,943.98,1072.9482836010511,3,2,4,Big Spenders
12372,72,3,1298.04,0.44932896411722156,1.3295213184838337,432.68,546.494419877506,2,3,3,At Risk
